work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2025,2,1,100,1,0,0,0,0,129000
2025,1,1,0,1,0,0,0,0,91800
2025,2,1,100,1,0,0,0,0,156000
2023,1,1,100,0,0,0,0,0,115000
2023,3,1,100,0,1,0,0,0,220000
2025,2,1,0,1,0,0,0,0,216000
2024,1,1,0,0,0,0,1,0,96600
2024,1,1,0,0,1,0,0,0,137972
2025,1,1,0,0,0,0,0,0,67600
2024,1,1,0,1,0,0,0,0,56250
2025,0,1,0,0,0,0,0,0,18277
2025,2,1,100,0,0,0,0,0,120000
2025,1,1,0,1,0,0,0,0,30315
2024,2,1,0,1,0,0,0,0,218540
2023,2,1,100,0,0,0,0,0,149500
2025,1,1,0,1,0,0,0,0,61625
2024,0,1,100,0,0,0,0,0,60000
2025,2,1,100,1,0,0,0,0,135000
2025,2,1,0,0,0,0,0,0,105000
2025,1,1,100,1,0,0,0,0,106331
2024,1,1,0,0,0,0,0,1,186000
2025,2,1,0,0,0,0,0,0,96900
2025,1,1,0,0,1,0,0,0,54000
2025,1,1,100,0,1,0,0,0,54430
2024,2,1,0,0,0,0,0,1,108000
2024,2,1,0,0,0,0,0,0,142444
2025,2,1,100,1,0,0,0,0,150000
2025,2,1,0,0,1,0,0,0,163000
2024,2,1,0,1,0,0,0,0,74800
2024,2,1,0,1,0,0,0,0,51111
2024,1,1,0,0,0,0,0,0,57333
2024,2,1,0,0,0,0,1,0,246000
2024,0,1,0,1,0,0,0,0,135400
2025,0,1,0,0,0,0,0,0,79700
2023,2,1,100,1,0,0,0,0,187000
2024,1,1,0,0,1,0,0,0,95000
2024,2,1,0,1,0,0,0,0,147000
2024,1,1,0,1,0,0,0,0,105800
2025,2,1,0,1,0,0,0,0,227950
2025,2,2,0,0,0,0,0,1,185000
2025,1,1,0,1,0,0,0,0,90000
2023,2,2,0,0,1,0,0,0,417937
2025,2,1,0,0,0,0,1,0,161600
2023,2,1,100,0,1,0,0,0,215050
2024,2,1,100,1,0,0,0,0,111111
2024,2,1,0,1,0,0,0,0,178250
2024,2,1,100,0,1,0,0,0,158600
2024,1,1,100,0,1,0,0,0,117000
2025,1,1,0,1,0,0,0,0,264200
2025,2,1,0,1,0,0,0,0,175900
2025,2,1,0,0,1,0,0,0,172800
2024,2,1,0,0,1,0,0,0,175000
2025,2,1,0,0,0,0,0,0,115000
2025,1,1,0,1,0,0,0,0,60000
2024,2,1,0,0,0,0,0,1,75600
2025,2,1,100,0,0,0,1,0,260100
2024,2,1,0,1,0,0,0,0,235000
2024,1,1,0,1,0,0,0,0,120060
2024,2,1,0,0,1,0,0,0,184000
2023,1,1,0,0,1,0,0,0,125000
2024,1,1,0,0,0,0,1,0,89900
2024,2,1,100,1,0,0,0,0,282000
2025,2,1,0,0,0,0,1,0,141440
2025,2,1,0,0,0,0,1,0,147000
2024,1,1,0,0,1,0,0,0,117718
2024,2,1,0,1,0,0,0,0,157000
2024,2,1,0,1,0,0,0,0,130000
