job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Research Analyst,US,US,MI,FT,75000,11.225256725762893
Data Engineer,AR,AR,SE,FT,97200,11.484536278461452
Big Data Developer,US,US,SE,FT,184000,12.122696471358964
Analytics Engineer,US,US,EN,FT,35200,10.468829770273567
Data Analyst,US,US,EN,FT,185100,12.128656901032139
Consultant,US,US,MI,FT,70600,11.16479958768697
Machine Learning Engineer,US,US,MI,FT,125500,11.74006900564972
Data Scientist,US,US,SE,FT,189100,12.150036542839864
Analytics Engineer,US,US,SE,FT,144500,11.881041706925902
Research Scientist,US,US,MI,FT,150000,11.918397239722838
Research Engineer,US,US,MI,FT,141340,11.858930689357782
Manager,US,US,MI,FT,180959,12.106031291349947
Software Engineer,US,US,MI,FT,81900,11.313266479778829
Software Engineer,US,US,MI,FT,75000,11.225256725762893
Prompt Engineer,US,US,SE,FT,165000,12.013706813470414
Analyst,US,US,EN,FT,66900,11.110969193687714
Business Intelligence Developer,US,US,EN,FT,116600,11.666513129191083
Data Engineer,US,US,MI,FT,141400,11.859355104555387
Data Consultant,US,US,MI,FT,154000,11.944714374881176
Data Analyst,FR,FR,EN,FT,76546,11.245660210246031
Research Scientist,US,US,MI,FT,126300,11.746423225963612
Research Analyst,CA,CA,EN,FT,127305,11.75434891619205
Engineering Manager,US,US,MI,FT,285000,12.560247968016562
Engineering Manager,US,US,MI,FT,270000,12.506180941677357
Stage,FR,FR,EN,FT,17684,9.780472101639582
Solutions Architect,US,US,SE,FT,300800,12.614204195520381
Analytics Engineer,US,US,SE,FT,107400,11.58432477200052
Data Scientist,FR,FR,SE,FT,119700,11.692752245730048
Business Intelligence Developer,US,US,SE,FT,102000,11.532737896139919
Solutions Architect,US,US,SE,FT,225000,12.323860125621126
Data Scientist,US,US,EN,FT,86000,11.362114203075018
Analyst,US,US,MI,FT,124800,11.734475747705874
Software Engineer,US,US,SE,FT,106800,11.578722568760277
Data Analyst,GB,GB,EN,FT,33750,10.426765325491356
Analyst,US,US,MI,FT,106000,11.571203807011969
Data Architect,US,US,SE,FT,135000,11.813037464800539
Research Associate,US,US,MI,FT,54701,10.909655550812957
Machine Learning Researcher,US,US,MI,FT,165760,12.01830227085359
Systems Engineer,US,US,EN,FT,44850,10.711101163782413
Software Engineer,ES,ES,SE,FT,123157,11.721223362867933
Data Specialist,US,US,SE,FT,118150,11.679718746396418
Machine Learning Engineer,US,US,MI,FT,163700,12.00579687207606
MLOps Engineer,CA,CA,MI,FT,106500,11.575909653758895
Data Scientist,US,US,EN,FT,62000,11.034905792929415
Data Scientist,US,US,MI,FT,137000,11.827743504053695
Data Architect,US,US,SE,FT,206000,12.235636302128867
Data Analyst,US,US,EN,FT,220000,12.301387370778713
Data Engineer,US,US,SE,FT,202500,12.218500103788143
Solution Architect,US,US,SE,FT,160000,11.982935344196433
Data Scientist,US,US,SE,FT,151000,11.92504173829169
Engineering Manager,US,US,MI,FT,275000,12.524530013005734
Data Scientist,NZ,NZ,SE,FT,135000,11.813037464800539
Data Analyst,US,US,SE,FT,202800,12.219980481653478
Data Analyst,GB,GB,EN,FT,44712,10.708019566059964
Manager,US,US,SE,FT,235000,12.367345048436391
Machine Learning Engineer,US,US,SE,FT,258100,12.46110626016646
Data Engineer,US,US,SE,FT,258750,12.463621488288547
Architect,US,US,SE,FT,170000,12.04355959836804
